Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,27/09/2024 06:04,Tangerang Running,5.54,365,00:37:45,121,133,2.4,171,184,06:49,05:47,3,2,0.86,9.3,8,265,06:47,228,0,225,275,"6,458",No,03:58.9,6,00:37:33,00:44:42,30,33
Running,25/09/2024 05:59,Tangerang - Quality Session,11.26,752,01:13:03,132,158,3.6,154,245,06:29,04:05,5,24,0.99,8.2,7.8,244,06:29,260,0,223,395,"11,560",No,00:01:00,22,01:09:07,01:20:23,32,37
Running,24/09/2024 06:15,Tangerang Running,10.01,656,01:04:18,129,139,3.1,175,188,06:26,05:37,10,13,0.88,9,8,258,06:26,236,0,235,292,"11,308",No,00:07.6,11,01:04:15,01:04:36,34,41
Running,22/09/2024 06:15,Tangerang Running,8.03,540,00:47:02,138,164,3.5,177,192,05:52,04:35,4,4,0.96,8.5,8.1,248,05:51,262,0,257,337,"8,310",No,00:09.1,9,00:46:55,00:48:24,32,34
Running,21/09/2024 05:33,Tangerang - Quality Session,18.02,"1,233",01:42:16,148,164,4.7,178,194,05:41,04:33,12,10,0.98,8.3,8.1,245,05:40,264,0,264,354,"18,274",No,00:06.9,19,01:41:54,01:50:42,30,35
Running,18/09/2024 06:14,Sydney Running,7.65,539,01:03:29,116,157,2.5,132,200,08:18,03:09,67,64,0.89,8.8,7.6,254,07:45,228,0,181,488,"9,112",No,03:42.6,8,00:56:06,01:55:27,0,41
Running,15/09/2024 06:30,Sydney Running,42.92,"2,686",03:49:03,150,158,5,178,204,05:20,03:00,364,482,1.04,7.9,8.2,237,05:19,292,0,282,495,"41,142",No,04:31.9,43,03:46:19,03:49:03,-8,110
Running,14/09/2024 07:06,Sydney Running,2.8,177,00:20:33,115,140,1.9,156,243,07:21,03:36,18,42,0.88,9.2,7.9,261,07:05,234,0,212,477,"3,382",No,06:00.2,3,00:19:28,00:23:38,5,39
Running,12/09/2024 06:13,Tangerang Running,2.17,143,00:14:10,120,134,2,172,188,06:31,05:50,1,2,0.88,9,7.9,257,06:30,236,0,232,268,"2,466",No,01:08.2,3,00:14:03,00:14:10,29,31
Running,11/09/2024 06:16,Tangerang Running,6.03,390,00:33:58,137,154,3.2,181,194,05:38,04:45,19,3,0.97,8.2,8,243,05:37,270,0,266,325,"6,150",No,00:10.1,7,00:33:53,00:33:58,34,38
Running,08/09/2024 05:58,Bandung Running,18.2,"1,166",01:46:43,136,153,4.1,179,190,05:52,05:12,137,136,0.94,8.4,7.9,246,05:51,263,0,259,391,"19,194",No,01:11.3,19,01:46:17,02:02:03,651,675
Running,07/09/2024 16:00,Bandung Running,10.18,674,00:51:47,159,169,4.8,183,200,05:05,03:48,70,79,1.07,7.7,8.2,233,05:04,302,0,298,426,"9,454",No,00:57.2,11,00:51:44,00:51:47,649,672
Running,06/09/2024 06:21,Tangerang Running,8.54,557,00:57:53,122,140,2.7,174,190,06:47,04:29,10,9,0.84,9.3,7.8,262,06:46,224,0,223,368,"10,092",No,03:31.7,9,00:57:45,00:57:53,34,38
Running,05/09/2024 06:14,Tangerang Running,5.52,361,00:37:05,121,131,2.5,173,190,06:43,05:50,4,41,0.85,9.2,7.8,259,06:42,228,0,224,274,"6,488",No,03:24.4,6,00:36:57,00:37:34,30,33
Running,03/09/2024 06:19,Tangerang Running,8.04,516,00:55:24,122,128,2.5,175,189,06:54,05:39,7,8,0.82,9.3,7.7,261,06:54,221,0,220,277,"9,748",No,00:17.4,9,00:55:18,00:55:46,36,40
Running,01/09/2024 05:16,Tangerang - Quality Session,21.1,"1,419",01:42:50,164,178,5,184,220,04:52,03:12,27,62,1.1,7.5,8.3,228,04:53,305,0,303,377,"18,980",No,00:22.5,22,01:42:44,01:42:50,33,49
Running,31/08/2024 05:32,Tangerang Running,13.8,924,01:29:32,131,145,3.4,176,192,06:29,04:57,15,50,0.87,9,7.8,256,06:30,233,0,232,307,"15,872",No,05:06.2,14,01:29:23,01:30:02,34,41
